ID,Invoice Number,Total
3916,INV/2014/I54780,735.09
3915,INV/2014/I54783,1221.94
3914,INV/2014/I54775,93.75
3913,INV/2014/I54781,701.92
3912,INV/2014/I54773,148.5
3911,INV/2014/I54774,207.9
3910,INV/2014/I54772,168
3909,INV/2014/I54777,701.92
3908,INV/2014/I54776,2288.73
3907,INV/2014/S54769,952.3
3906,INV/2014/I54760,97.3
3905,INV/2014/I54744,194.6
3904,INV/2014/I54748,972.63
3903,INV/2014/I54731,527.8
3901,INV/2014/I54737,527.8
3900,INV/2014/I54734,527.8
3899,INV/2014/I54733,527.8
3898,INV/2014/I54730,527.8
3897,INV/2014/I54735,527.8
3896,INV/2014/I54736,527.8
3895,INV/2014/I54732,527.8
3894,INV/2014/I54742,194.6
3893,INV/2014/I54740,187.5
3892,INV/2014/I54719,701.92
3891,INV/2014/I54718,417.3
3890,INV/2014/I54723,1119.22
3889,INV/2014/I54725,355.5
3888,INV/2014/I54721,980.12
3887,INV/2014/I54722,980.12
3885,INV/2014/I54709,998.95
3883,INV/2014/I54710,998.95
3882,INV/2014/I54714,499.8
3881,INV/2014/I54713,666.4
3880,INV/2014/I54661,1933.4
3878,INV/2014/I54660,139.3
3877,INV/2014/I54659,187.5
3876,INV/2014/I54619,336
3874,INV/2014/I54618,578.25
3873, INV/2014/I54616,429.75
3871,INV/2014/I54617,1062.75
3869,INV/2014/I54487,336
3867,INV/2014/I54565,281.25
3866,INV/2014/I54558,784
3865,INV/2014/I54527,1568
3861,INV/2014/I54410,895.5
3853,INV/2014/0104,666.4
3852,INV/2014/0103,841.45
3839,INV/2014/0102,312.75
3837,INV/2014/0101,1025.75
3836,INV/2014/0100,1357
3834,INV/2014/0099,549.5
3832,INV/2014/0098,4529.65
3824,INV/2014/0097,525.84
3823,INV/2014/0096,2503.8
3822,INV/2014/0095,95
3821,INV/2014/0094,727.6
3820,INV/2014/0093,916.97
3819,INV/2014/0092,797
3818,INV/2014/0091,38
3816,INV/2014/0090,482.45
3813,INV/2014/0089,1715.21
3812,INV/2014/0088,69
3811,INV/2014/0087,529.4
3810,INV/2014/0086,194
3809,INV/2014/0085,531.65
3808,INV/2014/0084,430.14
3807,INV/2014/0083,67.75
3803,INV/2014/0082,2452.97
3802,INV/2014/0081,898.8
3801,INV/2014/0080,288.9
3800,INV/2014/0079,1080
3799,INV/2014/0078,312.75
3798,INV/2014/0077,346.5
3797,INV/2014/0076,197.9
3796,INV/2014/0075,14.18
3795,INV/2014/0074,791.74
3794,INV/2014/0073,726.9
3793,INV/2014/0072,1440.26
3776,INV/2014/0071,66
3775,INV/2014/0070,801
3772,INV/2014/0069,449
3771,INV/2014/0068,306.5
3758,INV/2014/0067,530.59
3756,INV/2014/0066,1021.29
3755,INV/2014/0065,1519.4
3753,INV/2014/0064,1079.43
3752,INV/2014/0063,897.24
3751,INV/2014/0062,572.9
3750,INV/2014/0061,349.64
3749,INV/2014/0059,211.6
3748,INV/2014/0060,616.44
3747,INV/2014/0058,389.4
3746,INV/2014/0057,176
3744,INV/2014/0056,1485.91
3743,INV/2014/0055,778.1
3742,INV/2014/0054,1077.81
3741,INV/2014/0053,701.92
3740,INV/2014/0052,8265.75
3739,INV/2014/0051,1287.25
3738,INV/2014/0050,583.3
3737,INV/2014/0049,166
3736,INV/2014/0048,7368.01
3735,INV/2014/0047,28890
3734,INV/2014/0046,69.3
3733,INV/2014/0045,924
3732,INV/2014/0044,423.31
3731,INV/2014/0043,585.83
3728,INV/2014/0041,85
3727,INV/2014/0040,1837
3726,INV/2014/0039,696
3725,INV/2014/0038,1814.75
3724,INV/2014/0037,1181.49
3722,INV/2014/0036,387
3720,INV/2014/0035,171.54
3719,INV/2014/0034,173.34
3718,INV/2014/0033,4289.73
3717,INV/2014/0031,1112.81
3716,INV/2014/0030,445.66
3715,INV/2014/0029,2122.88
3714,INV/2014/0028,327
3713,INV/2014/0027,46.5
3712,INV/2014/0032,1785
3711,INV/2014/0026,2405.22
3710,INV/2014/0025,721.64
3709,INV/2014/0024,1009.98
3708,INV/2014/0023,1002.38
3706,INV/2014/0022,129
3705,INV/2014/0021,1958.1
3704,INV/2014/0020,1797.6
3703,INV/2014/0018,544.96
3702,INV/2014/0019,1538.13
3701,INV/2014/0017,2214.9
3700,INV/2014/0016,1070
3699,INV/2014/0015,3691.5
3697,INV/2014/0014,8265.75
3696,INV/2014/0013,431.25
3695,INV/2014/0012,867.95
3694,INV/2014/0011,129.4
3693,INV/2014/0010,424.1
3692,INV/2014/0009,62
3691,INV/2014/0008,42
3690,INV/2014/0007,229
3689,INV/2014/0006,9343.82
3688,INV/2014/0005,278.2
3687,SAJ/2014/0004,291.91
3686,SAJ/2014/0003,924.18
3685,SAJ/2014/0002,268.5
3676,INV/2014/I55062,625.5
3675,INV/2014/I55055,468.75
3674,INV/2014/I55039,1421.25
