"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_13073","Sales - Products","351.3","[LTK7R45005] LifeTrak R450 Midnight Black/Titanium","","SO116","INV/2014/0171","Cindy Heng (Accounts Payable)","LifeTrak R450 Midnight Black/Titanium","3.0","10","SO116","SR","117.1","Unit(s)",""
"__export__.account_invoice_line_13074","Sales - Products","194.31","[STRV01-003-0A] Striiv Band - Black","","SO116","INV/2014/0171","Cindy Heng (Accounts Payable)","Striiv Band - Black","3.0","10","SO116","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_13075","Sales - Products","909.0","[STRV01-004-0A] Striiv Touch - Black","","SO117","INV/2014/0172","Challenger Technologies Limited","Striiv Touch - Black","10.0","10","SO117","SR","90.9","Unit(s)",""
"__export__.account_invoice_line_13076","Sales - Products","647.0","[STRV01-003-0A] Striiv Band - Black","","SO117","INV/2014/0172","Challenger Technologies Limited","Striiv Band - Black","10.0","10","SO117","SR","64.7","Unit(s)",""
"__export__.account_invoice_line_13077","Sales - Products","325.0","[LTK7C3001P1] LifeTrak C300","","SO117","INV/2014/0172","Challenger Technologies Limited","LifeTrak C300","5.0","10","SO117","SR","65.0","Unit(s)",""
"__export__.account_invoice_line_13078","Sales - Products","820.0","[LTK7C4102P3] LifeTrak C410","","SO117","INV/2014/0172","Challenger Technologies Limited","LifeTrak C410","10.0","10","SO117","SR","82.0","Unit(s)",""
"__export__.account_invoice_line_13079","Sales - Products","585.5","[LTK7R45004] LifeTrak R450 Midnight Black/Freesia","","SO117","INV/2014/0172","Challenger Technologies Limited","LifeTrak R450 Midnight Black/Freesia","5.0","10","SO117","SR","117.1","Unit(s)",""
"__export__.account_invoice_line_13080","Sales - Products","585.5","[LTK7R45005] LifeTrak R450 Midnight Black/Titanium","","SO117","INV/2014/0172","Challenger Technologies Limited","LifeTrak R450 Midnight Black/Titanium","5.0","10","SO117","SR","117.1","Unit(s)",""
"__export__.account_invoice_line_13081","Advertisement","33.0","Shop space for rent ""peninsula shopping","","","20","Singapore Press Holdings Ltd","","1.0","","","TX","33.0","",""
"__export__.account_invoice_line_13082","Sales - Products","41.07","[FB401BTNT] Fitbit Flex Accessory Band 3-pack (Large)","","SO118","INV/2014/0173","GIOSIS PTE LTD (Qoo10)","Fitbit Flex Accessory Band 3-pack (Large)","1.0","10","SO118","SR C","43.94","Unit(s)",""
"__export__.account_invoice_line_13083","Sales - Products","106.09","[FB401BK] Fitbit Flex Wireless Activity + Sleep Wristband Black","","SO118","INV/2014/0173","GIOSIS PTE LTD (Qoo10)","Fitbit Flex Wireless Activity + Sleep Wristband Black","1.0","10","SO118","SR C","113.52","Unit(s)",""
"__export__.account_invoice_line_13084","Sales - Products","40.3","[FB401BTNS] Fitbit Flex Accessory Band 3-pack (Small)","","SO118","INV/2014/0173","GIOSIS PTE LTD (Qoo10)","Fitbit Flex Accessory Band 3-pack (Small)","1.0","10","SO118","SR C","43.12","Unit(s)",""
"__export__.account_invoice_line_13085","Sales - Products","44.55","[FB401BTNT] Fitbit Flex Accessory Band 3-pack (Large)","","SO118","INV/2014/0173","GIOSIS PTE LTD (Qoo10)","Fitbit Flex Accessory Band 3-pack (Large)","1.0","10","SO118","SR C","47.67","Unit(s)",""
"__export__.account_invoice_line_13086","Sales - Products","44.79","[FB401BTNT] Fitbit Flex Accessory Band 3-pack (Large)","","SO118","INV/2014/0173","GIOSIS PTE LTD (Qoo10)","Fitbit Flex Accessory Band 3-pack (Large)","1.0","10","SO118","SR C","47.93","Unit(s)",""
"__export__.account_invoice_line_13087","Purchases - JMD","1050.0","150 pcs of Linear Leather Card Holder at $7/pc","","","EXJ/2014/0116","Sagana International Pte Ltd","","1.0","","","TX","1050.0","",""
"__export__.account_invoice_line_13088","Purchases - JMD","480.0","FG-63 4-in-1 Pen with Highlighter Colour: Blue-500, Green-500","","","EXJ/2014/0117","FG Concepts Pte Ltd","","1000.0","","","TX","0.48","",""
"__export__.account_invoice_line_13089","Sales - Products","270.09","[Withings Body Scale WS-50] Withings Body Scale WS-50","","SO120","INV/2014/0174","VISA","Withings Body Scale WS-50","1.0","10","SO120","SR C","289.0","Unit(s)",""
